   2.0046539337634613e+03	   4.8820526886977973e+01	
   2.0056354605192544e+03	   4.8758273604369521e+01	
   2.0070233986476012e+03	   5.0065592539146763e+01	
   2.0085128740265470e+03	   5.1366471479171395e+01	
   2.0099349202752501e+03	   5.4066975945426975e+01	
   2.0116617094608293e+03	   5.7445826525622806e+01	
   2.0134223443966082e+03	   6.0822530440901090e+01	
   2.0149457967108324e+03	   6.2818928814206032e+01	
   2.0162660433387796e+03	   6.4130541078818339e+01	
   2.0170122240641138e+03	   7.2455307629008445e+01	
   2.0172499545937551e+03	   8.6391914671540377e+01	
