0.200512E+04 -0.620452E+02 -9.14694
0.200512E+04 -0.591838E+02 -9.33459
0.200512E+04 -0.547257E+02 -9.54618
0.200512E+04 -0.499965E+02 -9.50432
0.200512E+04 -0.450696E+02 -9.41839
0.200512E+04 -0.396999E+02 -9.4032
0.200512E+04 -0.350563E+02 -9.46795
0.200512E+04 -0.298685E+02 -9.5464
0.200512E+04 -0.249091E+02 -9.49724
0.200512E+04 -0.198988E+02 -9.64538
0.200512E+04 -0.150418E+02 -9.63804
0.200512E+04 -0.992896E+01 -9.59305
0.200512E+04 -0.509595E+01 -9.4934
0.200512E+04 -0.791300E-01 -9.28279
0.200512E+04 0.493192E+01 -9.45143
0.200512E+04 0.978496E+01 -9.52496
0.200512E+04 0.148987E+02 -9.49162
0.200512E+04 0.194503E+02 -9.61101
0.200512E+04 0.249915E+02 -9.68265
0.200512E+04 0.296064E+02 -9.67075
0.200512E+04 0.349216E+02 -9.58521
0.200512E+04 0.399470E+02 -9.4616
0.200512E+04 0.445575E+02 -9.33708
0.200512E+04 0.497431E+02 -8.77968
0.200512E+04 0.531401E+02 -8.68065
0.200513E+04 -0.566441E+02 -9.84347
0.200513E+04 -0.546450E+02 -9.79579
0.200513E+04 -0.494596E+02 -9.45275
0.200513E+04 -0.450832E+02 -9.56874
0.200513E+04 -0.395813E+02 -9.70361
0.200513E+04 -0.350659E+02 -9.60919
0.200513E+04 -0.294008E+02 -9.62165
0.200513E+04 -0.250964E+02 -9.60932
0.200513E+04 -0.194697E+02 -9.28592
0.200513E+04 -0.149626E+02 -9.03156
0.200513E+04 -0.101439E+02 -9.41457
0.200513E+04 -0.500699E+01 -9.18609
0.200513E+04 -0.401200E-01 -9.36904
0.200513E+04 0.500298E+01 -9.62661
0.200513E+04 0.103625E+02 -9.50251
0.200513E+04 0.149065E+02 -9.69922
0.200513E+04 0.202195E+02 -9.59716
0.200513E+04 0.246011E+02 -9.02701
0.200513E+04 0.302447E+02 -9.15708
0.200513E+04 0.347412E+02 -9.20169
0.200513E+04 0.402061E+02 -8.86376
0.200513E+04 0.448888E+02 -8.78994
0.200513E+04 0.496061E+02 -8.82239
0.200513E+04 0.547647E+02 -8.56971
0.200513E+04 0.579615E+02 -8.31034
0.200525E+04 -0.590508E+02 -9.58963
0.200525E+04 -0.549072E+02 -9.41075
0.200525E+04 -0.501145E+02 -9.24653
0.200525E+04 -0.451720E+02 -9.38514
0.200525E+04 -0.399697E+02 -9.31246
0.200525E+04 -0.349420E+02 -9.2756
0.200525E+04 -0.300599E+02 -9.40211
0.200525E+04 -0.247718E+02 -9.42819
0.200525E+04 -0.201726E+02 -9.32599
0.200525E+04 -0.149019E+02 -9.20803
0.200525E+04 -0.996585E+01 -9.18622
0.200525E+04 -0.488076E+01 -9.34986
0.200525E+04 0.919000E-02 -9.40073
0.200525E+04 0.488317E+01 -9.35677
0.200525E+04 0.101332E+02 -9.28063
0.200525E+04 0.148943E+02 -9.1901
0.200525E+04 0.201154E+02 -9.05151
0.200525E+04 0.251800E+02 -9.13398
0.200525E+04 0.297376E+02 -9.22181
0.200525E+04 0.352404E+02 -8.87084
0.200525E+04 0.396234E+02 -8.7406
0.200525E+04 0.451323E+02 -8.66984
0.200525E+04 0.494160E+02 -8.45601
0.200525E+04 0.536859E+02 -8.10841
0.200525E+04 0.561453E+02 -7.86917
0.200495E+04 -0.677324E+02 -9.5417
0.200495E+04 -0.641605E+02 -9.51569
0.200495E+04 -0.597978E+02 -9.51928
0.200495E+04 -0.548128E+02 -9.42639
0.200495E+04 -0.498062E+02 -9.35641
0.200495E+04 -0.442043E+02 -9.05956
0.200495E+04 -0.398709E+02 -9.11844
0.200495E+04 -0.350100E+02 -9.30068
0.200495E+04 -0.293859E+02 -9.16973
0.200495E+04 -0.255143E+02 -9.16845
0.200495E+04 -0.197674E+02 -9.0909
0.200495E+04 -0.149522E+02 -9.2515
0.200495E+04 -0.100603E+02 -9.33265
0.200495E+04 -0.471374E+01 -9.04448
0.200495E+04 -0.302000E-02 -9.144
0.200495E+04 0.503735E+01 -9.34743
0.200495E+04 0.994563E+01 -9.35685
0.200495E+04 0.150625E+02 -9.37862
0.200495E+04 0.201012E+02 -9.14128
0.200495E+04 0.250007E+02 -8.9052
0.200495E+04 0.299502E+02 -9.11916
0.200495E+04 0.358427E+02 -9.05286
0.200495E+04 0.402684E+02 -8.91759
0.200495E+04 0.445605E+02 -8.73969
0.200495E+04 0.476307E+02 -8.49919
0.200564E+04 -0.672720E+02 -9.08677
0.200564E+04 -0.640413E+02 -9.2279
0.200564E+04 -0.594493E+02 -9.40028
0.200564E+04 -0.549136E+02 -9.51209
0.200564E+04 -0.499973E+02 -9.3694
0.200564E+04 -0.451269E+02 -9.35909
0.200564E+04 -0.398347E+02 -9.55373
0.200564E+04 -0.349426E+02 -9.50432
0.200564E+04 -0.301382E+02 -9.44953
0.200564E+04 -0.251451E+02 -9.37841
0.200564E+04 -0.198299E+02 -9.37787
0.200564E+04 -0.150272E+02 -9.31712
0.200564E+04 -0.102149E+02 -9.21289
0.200564E+04 -0.496122E+01 -9.24079
0.200564E+04 -0.615200E-01 -9.36599
0.200564E+04 0.501591E+01 -9.50834
0.200564E+04 0.964984E+01 -9.31724
0.200564E+04 0.150318E+02 -9.06477
0.200564E+04 0.198880E+02 -9.02673
0.200564E+04 0.250407E+02 -8.98813
0.200564E+04 0.299154E+02 -8.9796
0.200564E+04 0.346561E+02 -8.80435
0.200564E+04 0.397479E+02 -8.71566
0.200564E+04 0.447923E+02 -8.58582
